"k1","k2"
3.7445,3.7414
2.6161,2.8862
-2.4184,5.4855
3.5978,5.1086
2.8423,4.6285
3.5638,3.0951
4.3663,15.497
2.5263,1.687
5.2022,1.5347
1.9437,2.5925
2.1082,1.6982
4.6488,4.4376
3.3725,0.179
1.9018,5.561
6.3077,6.1555
-0.2302,7.5992
-0.7495,8.4876
6.6093,5.6321
5.5495,5.5147
-0.3049,5.9446
-3.1896,2.6063
1.4875,5.7056
1.1046,5.366
-17.46,8.7958
2.5348,1.6416
2.5348,1.6416
4.6899,2.3238
12.1101,0.1552
4.0172,2.253
2.2058,2.8025
4.7855,2.2551
-12.5483,7.3957
1.794,2.7779
-12.1906,6.8612
10.1554,1.36
3.9935,1.9859
-0.1522,2.5281
-7.4047,4.5947
-7.2137,4.4462
4.2022,0.2356
-0.6616,1.9368
6.9942,1.5576
10.2181,1.0392
7.9184,1.7291
10.9577,2.6709
9.5559,1.5009
10.7943,2.474
10.4766,1.3114
9.4045,1.6397
8.7634,2.1166
9.2446,6.0853
6.6278,2.9336
7.1626,4.907
3.8373,5.2985
3.0853,0.9114
3.7214,1.8544
0.9965,1.8314
1.5291,2.0346
0.802,1.6539
0.5107,2.9122
