"k1","k2"
3.7445,3.7414
2.6161,2.8862
-2.4184,5.4855
3.5978,5.1086
2.8423,4.6285
3.5638,3.0951
4.3663,15.497
2.5263,1.687
5.2022,1.5347
-17.46,8.7958
2.5348,1.6416
2.5348,1.6416
4.6899,2.3238
12.1101,0.1552
4.0172,2.253
2.2058,2.8025
4.7855,2.2551
-12.5483,7.3957
1.794,2.7779
-12.1906,6.8612
10.1554,1.36
3.9935,1.9859
-0.1522,2.5281
-7.4047,4.5947
-7.2137,4.4462
4.2022,0.2356
-0.6616,1.9368
6.9942,1.5576
10.2181,1.0392
7.9184,1.7291
8.7634,2.1166
9.2446,6.0853
6.6278,2.9336
7.1626,4.907
